model,seed,oracle,status,escape_rate,rr_rq1,rr_rq2,mutated_none_rate,rr_original,original_none_rate,mean_reward,folder
mlp,43,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/mlp/10/run_0/agent_oracle_s43/run_0
mlp,44,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/mlp/10/run_0/agent_oracle_s44/run_0
mlp,45,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/mlp/10/run_0/agent_oracle_s45/run_0
mlp,46,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/mlp/10/run_0/agent_oracle_s46/run_0
mlp,47,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/mlp/10/run_0/agent_oracle_s47/run_0
mlp,48,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/mlp/10/run_0/agent_oracle_s48/run_0
mlp,49,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/mlp/10/run_0/agent_oracle_s49/run_0
mlp,50,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/mlp/10/run_0/agent_oracle_s50/run_0
mlp,51,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/mlp/10/run_0/agent_oracle_s51/run_0
cnn,42,True,done,0.9600443951165372,0.0,0.0011560693641619046,0.02174256930942509,0.0,0.0597232002129237,5.51165371809101,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/adversarial_agent_oracle/run_1
cnn,43,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_oracle_s43/run_0
cnn,44,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_oracle_s44/run_0
cnn,45,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_oracle_s45/run_0
cnn,46,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_oracle_s46/run_0
cnn,47,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_oracle_s47/run_0
cnn,48,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_oracle_s48/run_0
cnn,49,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_oracle_s49/run_0
cnn,50,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_oracle_s50/run_0
cnn,51,True,missing,,,,,,,,/home/kali/Desktop/ATBMHTTT/artifact/Adversarial_RL_XSS/runs/cnn/10/run_0/agent_oracle_s51/run_0
